ProductName,Stars,Ratings,Reviews,Price
SAMSUNG Galaxy F13 (Waterfall Blue,4.4,79688,4076,₹11999
SAMSUNG Galaxy F13 (Nightsky Green,4.4,79688,4076,₹11999
SAMSUNG Galaxy F13 (Sunrise Copper,4.4,79688,4076,₹11999
realme 9i (Prism Blue,4.5,102,219,₹15129
realme 9i (Prism Blue,4.5,23844,1429,₹16139
realme 9i (Prism Blue,4.5,102,219,₹13619
realme 9i (Prism Black,4.5,102,219,₹13619
SAMSUNG Galaxy F23 5G (Aqua Blue,4.3,109,133,₹18499
realme 9i (Prism Black,4.5,102,219,₹15129
realme 9i (Prism Black,4.5,23844,1429,₹16139
SAMSUNG Galaxy F23 5G (Forest Green,4.3,109,133,₹18499
SAMSUNG Galaxy F23 5G (Copper Blush,4.3,109,133,₹18499
Infinix HOT 12 Play (Champagne Gold,4.3,93259,6887,₹8999
SAMSUNG Galaxy F22 (Denim Blue,4.3,95806,9323,₹11999
realme C35 (Glowing Black,4.4,141,894,₹11999
MOTOROLA e40 (Pink Clay,4.1,41082,4234,₹9999
MOTOROLA e40 (Carbon Gray,4.1,41082,4234,₹9999
vivo T1 44W (Starry Sky,4.4,59765,4420,₹14499
vivo T1 44W (Ice Dawn,4.4,59765,4420,₹14499
SAMSUNG Galaxy F22 (Denim Black,4.3,60591,5686,₹13999
SAMSUNG Galaxy F22 (Denim Black,4.3,95806,9323,₹11999
vivo T1 5G (Rainbow Fantasy,4.3,50119,4161,₹15990
vivo T1 5G (Starlight Black,4.3,50119,4161,₹15990
vivo T1 5G (Rainbow Fantasy,4.4,136,627,₹16990
realme C33 (Night Sea,4.5,12024,461,₹8999
OPPO F19 (Space Silver,4.3,17347,1278,₹15490
REDMI 10 (Pacific Blue,4.3,131,568,₹10999
vivo T1X (Space Blue,4.5,50879,2675,₹11999
vivo T1X (Gravity Black,4.5,50879,2675,₹11999
vivo T1 44W (Starry Sky,4.4,33768,2680,₹15999
vivo T1 44W (Midnight Galaxy,4.4,59765,4420,₹14499
OPPO F19 (Midnight Blue,4.3,17347,1278,₹15490
REDMI 10 (Caribbean Green,4.3,131,568,₹10999
realme C35 (Glowing Black,4.4,141,894,₹12999
MOTOROLA g52 (Metallic White,4.2,13692,1783,₹16499
MOTOROLA G32 (Satin Silver,4.2,6961,671,₹12999
SAMSUNG Galaxy F13 (Sunrise Copper,4.4,79688,4076,₹12999
MOTOROLA g52 (Charcoal Grey,4.2,13692,1783,₹16499
realme C30 (Lake Blue,4.3,49618,2383,₹6999
SAMSUNG Galaxy F13 (Nightsky Green,4.4,79688,4076,₹12999
vivo T1X (Gravity Black,4.5,50879,2675,₹12999
vivo T1X (Space Blue,4.5,50879,2675,₹12999
realme C33 (Night Sea,4.5,36928,1415,₹9999
realme C33 (Aqua Blue,4.5,36928,1415,₹9999
vivo T1 5G (Rainbow Fantasy,4.3,12403,1105,₹19990
MOTOROLA G62 5G (Midnight Gray,4.1,3709,387,₹17999
SAMSUNG GALAXY M13 (Midnight Blue,4.2,655,41,₹10690
REDMI 10 (Midnight Black,4.3,131,568,₹10999
